文件名,公网IP地址/公网URL地址/域名/邮箱地址,用途说明
onnx-modifier/static/onnx-metadata.json,http://jmlr.org/papers/volume12/duchi11a/duchi11a.pdf,算子说明信息
onnx-modifier/static/dagre.js,http://math.stackexchange.com/questions/108113/find-edge-between-two-boxes,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://arxiv.org/abs/1502.03167,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://github.com/onnx/onnx/blob/master/docs/IR.md,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://arxiv.org/abs/1506.02025,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://pytorch.org/docs/master/generated/torch.nn.functional.grid_sample.html#torch-nn-functional-grid-sample,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://arxiv.org/abs/1607.08022,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://arxiv.org/abs/1703.06870,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://devblogs.nvidia.com/optimizing-recurrent-neural-networks-cudnn-5/,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://docs.scipy.org/doc/numpy/reference/arrays.indexing.html,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://docs.scipy.org/doc/numpy/reference/generated/numpy.compress.html,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://docs.scipy.org/doc/numpy/reference/generated/numpy.nonzero.html,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://docs.scipy.org/doc/numpy/reference/generated/numpy.unique.html,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://docs.scipy.org/doc/numpy/reference/generated/numpy.where.html,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://github.com/onnx/onnx/blob/master/docs/Broadcasting.md,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://docs.scipy.org/doc/numpy-1.13.0/reference/generated/numpy.matmul.html,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://en.wikipedia.org/wiki/Rounding,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://en.wikipedia.org/wiki/Basic_Linear_Algebra_Subprograms#Level_3,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://gitee.com/ascend/ait/,本仓库位置
onnx-modifier/static/onnx-metadata.json,https://gitee.com/ascend/ait.git,本仓库位置
onnx-modifier/static/onnx-metadata.json,https://gitee.com/ascend/ait/onnx-modifier/,本仓库位置
onnx-modifier/static/onnx-metadata.json,https://github.com/dagrejs/dagre,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://github.com/dagrejs/graphlib,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://github.com/numpy/numpy/issues/8621,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://github.com/onn,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://github.com/onnx/onnx/blob/master/docs/IR.md,算子说明信息
onnx-modifier/static/zip.js,https://github.com/photopea/UZIP.js,算子说明信息
onnx-modifier/static/index.html,https://github.com/ZhangGe6,该仓库原始仓库位置，在About菜单中展示
onnx-modifier/static/onnx-metadata.json,https://ieeexplore.ieee.org/document/1163711,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://numpy.org/doc/stable/user/basics.indexing.html?highlight=slice#slicing-and-striding,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://papers.nips.cc/paper/4824-imagenet-classification-with-deep-convolutional-neural-networks.pdf,算子说明信息
onnx-modifier/static/onnx-metadata.json,https://pytorch.org/docs/stable/nn.html#torch.nn.NLLLoss,算子说明信息
onnx-modifier/static/view.js,https://git-lfs.github.com/,LFS header
